line_id,line_name,region,tier,station_count,startable,line_kind,operator
arex,공항철도,capital,normal,14,0,metro,
bgl,부산김해경전철,busan,hardcore,21,1,metro,
busan_1,1호선,busan,intro,40,1,metro,
busan_2,2호선,busan,intro,43,1,metro,
busan_3,3호선,busan,intro,17,0,metro,
busan_4,4호선,busan,intro,14,0,metro,
daegu_1,1호선,daegu,intro,35,1,metro,
daegu_2,2호선,daegu,intro,29,1,metro,
daegu_3,3호선,daegu,intro,30,1,metro,
daegyeong,대경선,daegu,normal,8,0,metro,
daejeon_1,1호선,daejeon,intro,22,1,metro,
donghae,동해선,busan,normal,23,1,metro,
everline,용인경전철,capital,hardcore,15,0,metro,
gimpo,김포골드라인,capital,hardcore,10,0,metro,
gtx_a,GTX-A,capital,normal,9,0,metro,
gwangju_1,1호선,gwangju,intro,20,1,metro,
gyeongchun,경춘선,capital,normal,25,1,metro,
gyeonggang,경강선,capital,normal,12,0,metro,
gyeongui,경의중앙선,capital,normal,58,1,metro,
incheon_1,인천 1호선,capital,normal,33,1,metro,
incheon_2,인천 2호선,capital,normal,27,1,metro,
ktx_gangneung,KTX 강릉선,national,normal,16,0,highspeed,KORAIL
ktx_gyeongbu,KTX 경부선,national,normal,19,0,highspeed,KORAIL
ktx_gyeongjeon,KTX 경전선,national,normal,16,0,highspeed,KORAIL
ktx_honam,KTX 호남선,national,normal,17,0,highspeed,KORAIL
ktx_jeolla,KTX 전라선,national,normal,18,0,highspeed,KORAIL
ktx_jungang,KTX 중앙선,national,normal,10,0,highspeed,KORAIL
ktx_jungbunaeryuk,KTX 중부내륙선,national,normal,6,0,highspeed,KORAIL
seohae,서해선,capital,normal,21,1,metro,
seoul_1,1호선,capital,intro,102,1,metro,
seoul_2,2호선,capital,intro,50,1,metro,
seoul_3,3호선,capital,intro,44,1,metro,
seoul_4,4호선,capital,intro,51,1,metro,
seoul_5,5호선,capital,intro,56,1,metro,
seoul_6,6호선,capital,intro,39,1,metro,
seoul_7,7호선,capital,intro,53,1,metro,
seoul_8,8호선,capital,intro,24,1,metro,
seoul_9,9호선,capital,intro,38,1,metro,
sillim,신림선,capital,hardcore,11,0,metro,
sinbundang,신분당선,capital,normal,16,0,metro,
srt_donghae,SRT 동해선,national,normal,10,0,highspeed,SR
srt_gyeongbu,SRT 경부선,national,normal,12,0,highspeed,SR
srt_gyeongjeon,SRT 경전선,national,normal,15,0,highspeed,SR
srt_honam,SRT 호남선,national,normal,11,0,highspeed,SR
srt_jeolla,SRT 전라선,national,normal,14,0,highspeed,SR
suinbundang,수인분당선,capital,normal,63,1,metro,
ui,우이신설선,capital,hardcore,13,0,metro,
uijeongbu,의정부경전철,capital,hardcore,15,0,metro,
