역코드(STN_CD),역명(STN_NM),역약어명(STN_AVVR_NM)
0000924,송도교,송도교
3900000,본청,본청
3900001,서지청,서지청
3900002,대지청,대지청
3900003,순지청,순지청
3900004,영지청,영지청
3900005,부지청,부지청
3900006,서열소,서열소
3900007,량열소,량열소
3900008,구로열차소,구로열
3900009,대열소,대열소
3900010,천안열분,천안열
3900011,김천열분,김천열
3900012,순열소,순열소
3900013,익산열분,익산열
3900014,광주열분,광주열
3900015,영열소,영열소
3900016,제천열분,제천열
3900017,안동열주,안동열
3900018,동열소,동열소
3900019,부열소,부열소
3900020,대구열분,대구열
3900021,마산열분,마산열
3900022,경주열분,경주열
3900023,서울,서울
3900024,남영,남영
3900025,용산,용산
3900026,용산경부분,용산경
3900026,용산경부분,용산부
3900027,노량진,노량진
3900028,대방,대방
3900029,신길,신길
3900030,영등포,영등포
3900031,신도림,신도림
3900032,구로,구로
3900033,구로경부분,구로경
3900033,구로경부분,구로부
3900034,가리봉,가리봉
3900034,가산디지털,가산디
3900035,독산,독산
3900036,시흥,시흥
3900036,금천구청,금천구
3900037,석수,석수
3900038,관악,관악
3900039,안양,안양
3900040,명학,명학
3900041,금정,금정
3900042,군포,군포
3900043,당정,당정
3900044,부곡,부곡
3900044,의왕,의왕
3900045,성균관대,성균관
3900046,화서,화서
3900047,수원,수원
3900048,세류,세류
3900049,병점,병점
3900050,세마,세마
3900051,오산대,오산대
3900052,오산,오산
3900053,진위,진위
3900054,송탄,송탄
3900055,서정리,서정리
3900056,지제,지제
3900056,1평택지제,평지제
3900057,평택,평택
3900058,성환,성환
3900059,직산,직산
3900060,두정,두정
3900061,천안,천안
3900062,소정리,소정리
3900063,전의,전의
3900064,전동,전동
3900065,서창,서창
3900066,조치원,조치원
3900067,내판,내판
3900068,부강,부강
3900069,매포,매포
3900070,신탄진,신탄진
3900071,회덕,회덕
3900072,대전조차장,대전조
3900073,대전,대전
3900074,세천,세천
3900075,옥천,옥천
3900076,이원,이원
3900077,지탄,지탄
3900078,심천,심천
3900079,각계,각계
3900080,영동,영동
3900081,황간,황간
3900082,추풍령,추풍령
3900083,신암,신암
3900084,직지사,직지사
3900085,김천,김천
3900086,대신,대신
3900087,아포,아포
3900088,구미,구미
3900089,사곡,사곡
3900090,약목,약목
3900091,왜관,왜관
3900092,연화,연화
3900093,신동,신동
3900094,지천,지천
3900095,대구,대구
3900096,동대구,동대구
3900097,고모,고모
3900098,가천,가천
3900099,경산,경산
3900100,삼성,삼성
3900101,남성현,남성현
3900102,청도,청도
3900103,신거,신거
3900104,상동,상동
3900105,밀양,밀양
3900106,미전,미전
3900107,삼랑진,삼랑진
3900108,원동,원동
3900109,물금,물금
3900110,화명,화명
3900111,구포,구포
3900112,사상,사상
3900113,부산진,부산진
3900114,부산,부산
3900115,중랑,중랑
3900116,망우,망우
3900117,양원역,양원역
3900117,1양원,1양원
3900118,동교,동교
3900119,구리,구리
3900120,도농,도농
3900121,양정역,양정역
3900121,1양정,1양정
3900122,덕소,덕소
3900123,도심,도심
3900124,팔당,팔당
3900125,능내,능내
3900125,운길산,운길산
3900126,양수,양수
3900127,신원,신원
3900128,국수,국수
3900129,아신,아신
3900130,양평,양평
3900131,원덕,원덕
3900132,용문,용문
3900133,지평,지평
3900134,석불,석불
3900135,구둔,구둔
3900135,일신,일신
3900136,매곡,매곡
3900137,양동,양동
3900138,판대,판대
3900138,삼산,삼산
3900139,간현,간현
3900140,동화,동화
3900141,만종,만종
3900142,원주,원주
3900142,구원주,구원주
3900143,유교,유교
3900144,반곡,반곡
3900145,금교,금교
3900146,치악,치악
3900147,창교,창교
3900148,신림,신림
3900149,연교,연교
3900150,구학,구학
3900151,봉양,봉양
3900152,제천조차장,제천조
3900153,제천,제천
3900154,고명,고명
3900155,삼곡,삼곡
3900156,도담,도담
3900157,단양,단양
3900158,단성,단성
3900159,죽령,죽령
3900160,희방사,희방사
3900161,풍기,풍기
3900162,안정,안정
3900163,북영주,북영주
3900164,영주,영주
3900165,문수,문수
3900166,승문,승문
3900167,평은,평은
3900168,옹천,옹천
3900169,마사,마사
3900170,이하,이하
3900171,서지,서지
3900172,안동,안동
3900172,구안동,구안동
3900173,무릉,무릉
3900174,운산,운산
3900175,단촌,단촌
3900176,업동,업동
3900177,의성,의성
3900178,비봉,비봉
3900179,탑리,탑리
3900180,우보,우보
3900181,화본,화본
3900182,봉림,봉림
3900183,갑현,갑현
3900184,신녕,신녕
3900185,화산,화산
3900186,북영천,북영천
3900187,영천,영천
3900188,송포,송포
3900189,임포,임포
3900190,아화,아화
3900191,건천,건천
3900192,모량,모량
3900192,구모량,구모량
3900193,율동,율동
3900194,금장,금장
3900194,서경주,서경주
